id,as,lsg,oldstat,func,rel,assn,drink,status,howknow,cucard,survey,change,why,time,shift,shtime,fam,knnosw,nosw,inc,usenow,nowsw,x,y,distneares,distcw,distpw,cw50,cw100,cw150,pw50,pw100,pw150,ed,pw,cw,shifted,c50,c50to100,c100to150,p50,p50to100,p100to150,switch,as1to2,as2to3,as3to4,nearest,ed4,safeswitch,safemislab,safenolabe,switchfunc,arsenic,newstat,as4to965,lon,lat
87,5,0,3,1,1,1,23,1,2,1,1,no,NA,NA,NA,NA,3,NA,NA,NA,,NA,256918.8906,2633189.5,2.286999941,392.0589905,2.286999941,0,0,0,8,19,31,4,0,0,0,0,0,0,2,3,3,noswitch,0,0,0,0to50,1to5,0,1,1,NA,0to50,safe,0,90.61310388,23.78929045
88,11,0,13,1,1,0,23,1,12,0,0,no,NA,NA,NA,NA,4,NA,NA,NA,,NA,256936.9688,2633213,5.18900013,373.0840149,5.18900013,0,0,0,10,23,31,9,0,0,0,0,0,0,2,3,2,noswitch,0,0,0,0to50,6to10,0,1,1,NA,0to50,safe,0,90.61326678,23.78948529
89,5,0,3,1,1,0,23,1,12,1,1,no,NA,NA,NA,NA,3,NA,NA,NA,,NA,256965.1406,2633190.75,7.394999981,345.8429871,7.394999981,0,0,0,11,24,33,10,0,0,0,0,0,0,3,3,2,noswitch,0,0,0,0to50,6to10,0,1,1,NA,0to50,safe,0,90.61352061,23.7893008
90,12,1,3,1,1,0,1,1,2,1,1,pw,0,48,NA,NA,1,NA,NA,NA,,NA,256967.5156,2633180.5,4.28399992,344.4049988,4.28399992,0,0,0,9,23,33,10,1,0,0,0,0,0,2,3,2,switch,0,0,0,0to50,6to10,1,1,1,1,0to50,safe,0,90.613542,23.78921581
91,13,4,3,1,1,0,23,1,2,0,1,no,NA,NA,NA,NA,2,NA,NA,NA,,NA,256941.5625,2633182.75,8.001999855,370,8.001999855,0,0,0,11,22,31,5,0,0,0,0,0,0,3,3,2,noswitch,0,0,0,0to50,1to5,0,1,1,NA,0to50,safe,0,90.61330816,23.78923448
92,8,0,3,1,1,1,23,1,12,1,1,no,NA,NA,NA,NA,0,NA,NA,NA,,NA,255581.4844,2632345.5,10.36699963,141.4109955,10.36699963,0,0,1,3,13,33,0,0,0,0,0,0,1,1,2,4,noswitch,0,0,0,0to50,none,0,1,1,NA,0to50,safe,0,90.60105298,23.78229279
93,5,0,3,1,1,1,23,1,12,1,1,no,NA,NA,NA,NA,1,NA,NA,NA,,NA,255550.75,2632346.75,20.40999985,134.9989929,20.40999985,0,0,1,3,8,33,10,0,0,0,0,0,1,1,1,5,noswitch,0,0,0,0to50,6to10,0,1,1,NA,0to50,safe,0,90.60077605,23.78230316
94,455,0,12,1,1,0,0,0,12,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,255602.2031,2632324.25,17.98200035,168.2510071,17.98200035,0,0,0,3,9,24,7,1,0,0,0,0,0,1,2,3,switch,0,0,0,0to50,6to10,NA,NA,NA,NA,451to550,unsafe,1,90.60123966,23.78211658
95,391,2,0,1,2,1,23,2,NA,1,1,no,NA,NA,NA,NA,NA,NA,NA,NA,,NA,255576.2188,2632335.75,11.14700031,149.6809998,11.14700031,0,0,0,3,9,29,6,0,0,0,0,0,0,1,2,4,noswitch,0,0,1,0to50,6to10,NA,NA,NA,NA,351to450,unsafe,0,90.60100553,23.78221195
96,32,1,1,1,1,0,23,1,12,1,1,no,NA,NA,NA,NA,4,NA,NA,NA,,NA,255564.6719,2632275.75,35.04499817,207.072998,35.04499817,0,0,0,1,4,11,5,0,0,0,0,0,0,1,1,2,noswitch,0,0,0,0to50,1to5,0,1,1,NA,0to50,safe,0,90.60090147,23.78171444
97,89,2,0,1,1,3,23,1,3,1,1,dugnew,NA,24,NA,NA,NA,NA,NA,NA,,NA,255540.7344,2632276.75,39.97700119,204.7859955,39.97700119,0,0,0,1,4,11,5,NA,NA,1,0,0,0,1,1,2,switch,0,0,0,0to50,1to5,NA,NA,NA,NA,51to150,unsafe,0,90.60068578,23.78172274
98,100,2,3,1,1,0,23,1,2,1,1,no,NA,NA,NA,NA,0,NA,NA,NA,,NA,255530.9063,2632249,69.1309967,232.9859924,69.1309967,0,0,0,0,3,8,0,0,0,0,0,0,0,0,1,1,noswitch,1,0,0,50to100,none,NA,NA,NA,NA,51to150,unsafe,0,90.60059722,23.78149264
99,95,2,3,1,1,1,23,1,2,1,1,dugnew,NA,15,NA,NA,3,NA,NA,NA,,NA,255483.8438,2632179.25,37.65299988,308.131012,37.65299988,0,0,0,2,3,4,0,NA,NA,1,0,0,0,1,1,1,switch,0,0,0,0to50,none,NA,NA,NA,NA,51to150,unsafe,0,90.60017314,23.7809143
