idno,psu,dweight,stratval,gvjbevn,gvhlthc,gvslvol,gvslvue,gvcldcr,gvpdlwk,sbprvpv,sbeqsoc,sbcwkfm
113502,135,0.5153, Avon and Wiltshire  ,8,10,10,4,10,7,2,4,2
113504,135,0.5153, Avon and Wiltshire  ,5,10,10,8,5,NA,2,4,2
113506,135,1.0307, Avon and Wiltshire  ,6,8,8,8,7,7,2,2,2
113509,135,0.5153, Avon and Wiltshire  ,5,10,10,10,10,5,2,4,2
113510,135,0.5153, Avon and Wiltshire  ,7,10,9,5,7,7,4,4,4
113513,135,2.0613, Avon and Wiltshire  ,6,10,9,7,4,8,1,2,1
113514,135,2.5767, Avon and Wiltshire  ,10,10,10,8,10,10,3,4,3
113518,135,0.5153, Avon and Wiltshire  ,5,5,5,5,8,NA,4,4,4
113519,135,1.0307, Avon and Wiltshire  ,6,8,8,4,7,7,2,3,3
113520,135,1.0307, Avon and Wiltshire  ,6,8,9,8,9,8,3,3,3
113601,136,4, Avon and Wiltshire  ,7,8,9,9,9,9,2,3,3
113602,136,0.5153, Avon and Wiltshire  ,1,10,6,3,5,5,4,4,2
113603,136,1.0307, Avon and Wiltshire  ,6,10,10,6,NA,3,2,2,NA
113604,136,1.0307, Avon and Wiltshire  ,3,8,8,8,8,8,2,3,3
113606,136,1.0307, Avon and Wiltshire  ,7,9,9,7,8,9,3,3,3
113607,136,1.0307, Avon and Wiltshire  ,5,9,9,7,6,5,2,3,3
113610,136,1.0307, Avon and Wiltshire  ,10,10,10,7,7,8,2,2,2
113612,136,1.546, Avon and Wiltshire  ,7,9,9,9,8,8,2,2,3
113613,136,2.0613, Avon and Wiltshire  ,7,8,8,5,8,9,3,3,2
113614,136,1.0307, Avon and Wiltshire  ,3,9,9,2,8,8,3,4,2
113615,136,0.5153, Avon and Wiltshire  ,4,8,7,5,5,4,2,3,3
113616,136,2.5767, Avon and Wiltshire  ,7,8,8,7,7,8,2,3,3
113617,136,1.0307, Avon and Wiltshire  ,5,9,8,7,8,8,3,4,4
113618,136,1.0307, Avon and Wiltshire  ,4,8,8,5,8,7,3,4,3
113619,136,2.0613, Avon and Wiltshire  ,5,10,10,6,8,10,2,3,3
113620,136,0.5153, Avon and Wiltshire  ,4,10,10,5,5,8,4,2,3
113701,137,0.5153, Avon and Wiltshire  ,5,7,8,6,6,9,2,3,2
113703,137,1.0307, Avon and Wiltshire  ,8,10,10,8,4,6,2,2,2
113707,137,0.5153, Avon and Wiltshire  ,8,9,9,6,8,8,2,3,3
113709,137,0.5153, Avon and Wiltshire  ,8,9,10,6,3,5,3,2,3
113710,137,0.5153, Avon and Wiltshire  ,5,8,8,7,8,9,2,4,2
113711,137,1.0307, Avon and Wiltshire  ,6,10,10,5,10,10,3,3,4
113714,137,2.0613, Avon and Wiltshire  ,9,10,10,7,9,10,2,2,2
113716,137,2.0613, Avon and Wiltshire  ,3,7,10,6,6,7,2,1,2
113718,137,0.5153, Avon and Wiltshire  ,7,8,7,5,7,5,2,3,2
113719,137,1.546, Avon and Wiltshire  ,6,9,8,6,8,6,2,3,4
113802,138,0.5153, Avon and Wiltshire  ,3,10,10,5,5,7,1,2,2
113804,138,0.5153, Avon and Wiltshire  ,2,10,7,7,0,0,2,3,3
113805,138,0.5153, Avon and Wiltshire  ,7,8,8,6,5,6,1,2,2
113807,138,1.0307, Avon and Wiltshire  ,5,9,9,3,10,5,2,2,4
113808,138,1.0307, Avon and Wiltshire  ,6,8,8,6,NA,5,2,2,3
113809,138,1.0307, Avon and Wiltshire  ,2,8,8,6,8,7,3,3,3
113811,138,1.0307, Avon and Wiltshire  ,3,9,9,6,3,9,4,5,4
113813,138,0.5153, Avon and Wiltshire  ,10,10,7,6,5,5,2,2,2
113814,138,1.546, Avon and Wiltshire  ,8,8,8,7,7,8,4,4,4
113816,138,0.5153, Avon and Wiltshire  ,5,10,9,6,8,7,2,2,2
113819,138,1.0307, Avon and Wiltshire  ,7,7,7,7,7,8,3,4,3
113820,138,1.0307, Avon and Wiltshire  ,6,8,8,7,7,5,3,3,2
113901,139,1.0307, Gloucestershire and Gwent   ,6,9,9,6,9,9,2,2,2
113902,139,0.5153, Gloucestershire and Gwent   ,10,9,9,4,7,8,2,2,2
113903,139,0.5153, Gloucestershire and Gwent   ,7,8,8,5,5,5,2,2,2
113906,139,0.5153, Gloucestershire and Gwent   ,10,10,10,7,6,6,3,3,2
113908,139,1.0307, Gloucestershire and Gwent   ,8,10,10,6,6,5,2,2,3
113909,139,1.0307, Gloucestershire and Gwent   ,4,10,10,7,4,1,3,4,2
113910,139,1.0307, Gloucestershire and Gwent   ,4,8,8,7,6,4,2,3,2
113911,139,1.546, Gloucestershire and Gwent   ,6,9,9,3,5,8,2,3,2
113913,139,1.546, Gloucestershire and Gwent   ,2,10,10,10,7,0,4,2,2
113914,139,1.0307, Gloucestershire and Gwent   ,5,9,9,5,6,7,2,2,2
113915,139,0.5153, Gloucestershire and Gwent   ,3,10,9,8,9,9,1,3,2
113917,139,1.546, Gloucestershire and Gwent   ,6,10,8,3,5,8,4,5,2
113918,139,1.0307, Gloucestershire and Gwent   ,5,7,8,7,6,7,2,4,3
113919,139,1.0307, Gloucestershire and Gwent   ,4,10,7,4,5,7,2,3,2
113920,139,1.0307, Gloucestershire and Gwent   ,2,10,8,5,8,7,2,2,2
114101,141,1.0307, Gloucestershire and Gwent   ,2,4,8,4,4,7,2,2,2
114102,141,1.0307, Gloucestershire and Gwent   ,6,9,8,8,6,7,2,2,2
114103,141,1.0307, Gloucestershire and Gwent   ,7,9,8,NA,5,6,2,3,2
114106,141,1.0307, Gloucestershire and Gwent   ,7,8,7,7,6,5,3,4,3
114107,141,0.5153, Gloucestershire and Gwent   ,5,7,8,5,6,6,3,3,3
114109,141,1.0307, Gloucestershire and Gwent   ,7,10,7,5,6,5,2,4,NA
114110,141,1.0307, Gloucestershire and Gwent   ,4,8,7,6,4,5,NA,NA,NA
114112,141,0.5153, Gloucestershire and Gwent   ,5,7,7,5,NA,NA,2,4,NA
114113,141,1.0307, Gloucestershire and Gwent   ,6,10,10,10,9,10,2,4,2
114116,141,1.0307, Gloucestershire and Gwent   ,5,7,8,7,6,6,2,2,2
114118,141,0.5153, Gloucestershire and Gwent   ,3,10,8,4,0,0,2,4,2
114120,141,1.0307, Gloucestershire and Gwent   ,5,10,10,2,9,5,2,3,2
114302,143,0.5153, Oxfordshire and Berkshire  ,4,9,9,4,8,8,2,2,2
114304,143,0.5153, Oxfordshire and Berkshire  ,3,9,9,4,3,7,2,2,2
114305,143,0.5153, Oxfordshire and Berkshire  ,4,9,9,5,4,7,2,2,2
114306,143,1.546, Oxfordshire and Berkshire  ,4,8,7,6,5,6,2,2,3
114307,143,0.5153, Oxfordshire and Berkshire  ,8,8,8,7,7,7,2,2,2
114308,143,1.0307, Oxfordshire and Berkshire  ,6,9,9,6,9,7,2,2,3
114309,143,1.0307, Oxfordshire and Berkshire  ,7,10,10,7,6,9,3,3,3
114310,143,1.0307, Oxfordshire and Berkshire  ,4,8,9,4,6,8,2,2,2
114311,143,0.5153, Oxfordshire and Berkshire  ,10,10,10,10,9,9,2,4,2
114314,143,1.0307, Oxfordshire and Berkshire  ,3,8,8,6,7,3,2,2,2
114315,143,1.0307, Oxfordshire and Berkshire  ,3,8,8,5,4,4,2,4,4
114317,143,1.0307, Oxfordshire and Berkshire  ,5,9,9,5,6,5,2,2,2
114318,143,0.5153, Oxfordshire and Berkshire  ,10,10,10,5,6,7,2,2,2
114319,143,1.0307, Oxfordshire and Berkshire  ,7,8,8,8,8,8,2,2,2
114320,143,0.5153, Oxfordshire and Berkshire  ,5,8,8,5,8,7,2,2,2
114401,144,1.0307, Oxfordshire and Berkshire  ,7,8,8,7,7,7,3,3,2
114402,144,1.0307, Oxfordshire and Berkshire  ,7,9,9,7,5,8,2,2,2
114405,144,1.0307, Oxfordshire and Berkshire  ,8,10,10,8,8,10,2,4,4
114406,144,1.0307, Oxfordshire and Berkshire  ,8,9,9,7,7,6,2,2,2
114407,144,1.0307, Oxfordshire and Berkshire  ,7,9,9,7,7,9,4,2,3
114411,144,1.0307, Oxfordshire and Berkshire  ,5,9,9,7,5,8,2,4,3
114412,144,0.5153, Oxfordshire and Berkshire  ,7,10,8,6,7,4,4,2,2
114413,144,1.0307, Oxfordshire and Berkshire  ,5,7,8,7,7,7,2,4,2
114414,144,1.546, Oxfordshire and Berkshire  ,0,10,7,6,4,7,2,3,3
114415,144,1.546, Oxfordshire and Berkshire  ,5,6,7,5,6,7,5,3,4
114416,144,1.0307, Oxfordshire and Berkshire  ,8,10,10,5,7,4,1,4,2
114417,144,0.5153, Oxfordshire and Berkshire  ,1,6,6,4,5,6,3,3,3
114503,145,1.0307, Oxfordshire and Berkshire  ,5,7,7,5,8,8,2,2,NA
114505,145,0.5153, Oxfordshire and Berkshire  ,0,10,8,8,10,10,2,2,2
114508,145,1.0307, Oxfordshire and Berkshire  ,8,8,8,7,6,6,2,2,4
114509,145,1.546, Oxfordshire and Berkshire  ,5,8,7,3,5,7,4,4,4
114510,145,1.0307, Oxfordshire and Berkshire  ,5,10,9,6,7,7,4,4,4
114514,145,1.546, Oxfordshire and Berkshire  ,8,10,9,5,6,8,3,3,2
114515,145,1.0307, Oxfordshire and Berkshire  ,4,8,8,6,6,9,2,4,4
114516,145,0.5153, Oxfordshire and Berkshire  ,7,8,9,7,9,5,3,3,3
114518,145,1.0307, Oxfordshire and Berkshire  ,5,9,9,9,NA,8,1,2,2
114519,145,1.0307, Oxfordshire and Berkshire  ,4,8,8,7,5,5,2,4,3
114520,145,1.0307, Oxfordshire and Berkshire  ,2,4,4,4,2,5,4,4,3
114602,146,1.0307, Oxfordshire and Berkshire  ,6,9,9,8,5,6,2,2,2
114603,146,1.546, Oxfordshire and Berkshire  ,3,10,10,8,4,8,2,2,2
114604,146,1.0307, Oxfordshire and Berkshire  ,5,9,9,6,5,6,2,2,2
114605,146,1.546, Oxfordshire and Berkshire  ,3,8,7,5,5,5,2,3,3
114606,146,0.5153, Oxfordshire and Berkshire  ,4,8,6,6,7,8,3,2,2
114610,146,3.092, Oxfordshire and Berkshire  ,8,10,10,10,9,10,2,1,2
114611,146,0.5153, Oxfordshire and Berkshire  ,9,9,9,8,9,6,4,3,4
114612,146,1.0307, Oxfordshire and Berkshire  ,7,10,10,2,10,10,2,2,2
114613,146,3.092, Oxfordshire and Berkshire  ,7,8,8,6,6,6,2,2,2
114615,146,0.5153, Oxfordshire and Berkshire  ,7,9,9,7,8,5,3,3,2
114617,146,1.0307, Oxfordshire and Berkshire  ,6,10,10,8,6,6,2,2,2
114618,146,2.0613, Oxfordshire and Berkshire  ,3,8,8,2,7,8,2,2,2
114620,146,0.5153, Oxfordshire and Berkshire  ,1,9,9,3,5,5,2,2,3
114702,147,1.546, Oxfordshire and Berkshire  ,7,10,9,9,7,8,2,2,1
114704,147,1.0307, Oxfordshire and Berkshire  ,6,6,6,6,6,6,2,NA,3
114708,147,0.5153, Oxfordshire and Berkshire  ,1,8,8,7,7,8,2,2,3
114709,147,1.0307, Oxfordshire and Berkshire  ,7,7,7,7,7,7,3,NA,NA
114711,147,2.0613, Oxfordshire and Berkshire  ,4,6,6,5,6,7,4,4,3
114714,147,1.0307, Oxfordshire and Berkshire  ,7,8,7,5,9,5,2,3,2
114718,147,1.0307, Oxfordshire and Berkshire  ,9,9,9,8,8,8,2,3,2
114719,147,1.546, Oxfordshire and Berkshire  ,6,9,8,7,8,8,3,3,2
114720,147,1.0307, Oxfordshire and Berkshire  ,9,9,9,9,9,9,4,3,4
114802,148,1.0307," Hampshire, W Sussex, Isle of Wight  ",2,8,8,2,7,8,3,4,4
114803,148,1.0307," Hampshire, W Sussex, Isle of Wight  ",8,10,10,8,8,8,3,2,2
114811,148,0.5153," Hampshire, W Sussex, Isle of Wight  ",2,10,10,8,10,9,2,2,NA
114813,148,0.5153," Hampshire, W Sussex, Isle of Wight  ",8,10,9,7,7,7,3,4,3
114816,148,0.5153," Hampshire, W Sussex, Isle of Wight  ",4,8,8,6,5,6,2,2,2
114819,148,0.5153," Hampshire, W Sussex, Isle of Wight  ",5,10,10,5,8,7,2,4,2
114901,149,0.5153," Hampshire, W Sussex, Isle of Wight  ",6,10,10,8,10,10,4,2,2
114904,149,1.0307," Hampshire, W Sussex, Isle of Wight  ",5,6,6,5,7,7,2,4,2
114905,149,0.5153," Hampshire, W Sussex, Isle of Wight  ",4,9,10,3,5,6,3,4,3
114906,149,0.5153," Hampshire, W Sussex, Isle of Wight  ",10,10,9,7,8,10,3,4,2
114907,149,1.0307," Hampshire, W Sussex, Isle of Wight  ",6,8,8,6,8,7,3,4,4
114909,149,0.5153," Hampshire, W Sussex, Isle of Wight  ",7,10,10,3,10,8,2,3,1
114911,149,1.0307," Hampshire, W Sussex, Isle of Wight  ",6,9,9,7,9,9,3,3,3
114913,149,0.5153," Hampshire, W Sussex, Isle of Wight  ",6,8,9,7,10,9,3,3,2
114914,149,0.5153," Hampshire, W Sussex, Isle of Wight  ",8,10,10,7,6,10,2,2,2
114915,149,1.0307," Hampshire, W Sussex, Isle of Wight  ",4,8,9,4,5,5,5,4,1
114916,149,1.546," Hampshire, W Sussex, Isle of Wight  ",6,7,7,7,6,6,2,3,2
115003,150,1.546," Hampshire, W Sussex, Isle of Wight  ",10,10,10,10,10,10,2,4,1
115004,150,2.0613," Hampshire, W Sussex, Isle of Wight  ",2,5,8,4,6,5,2,2,4
115005,150,1.0307," Hampshire, W Sussex, Isle of Wight  ",0,10,10,0,5,5,2,2,2
115006,150,1.546," Hampshire, W Sussex, Isle of Wight  ",8,8,5,4,6,4,4,4,4
115007,150,0.5153," Hampshire, W Sussex, Isle of Wight  ",0,9,9,8,5,5,2,2,3
